Date:  18:54; domingo; agosto 31; 2025
Model name: Prot 2
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
9770  ,1.429e+02   ,-173.3  ,18  ,157.99
9771  ,1.425e+02   ,13.5  ,18  ,-197.58
9772  ,1.417e+02   ,294.64  ,18  ,-162.66
9773  ,1.449e+02   ,-61.679  ,18  ,-158.79
9774  ,1.416e+02   ,-94.901  ,18  ,195.14
9775  ,1.450e+02   ,-55.356  ,18  ,157.32
9776  ,1.441e+02   ,-82.875  ,18  ,156.26
9777  ,1.424e+02   ,40.198  ,18  ,-195.1
9778  ,1.451e+02   ,-6.9154  ,18  ,-159.12
9779  ,1.393e+02   ,329.11  ,18  ,-177.34
9780  ,1.382e+02   ,361.84  ,18  ,-184.89
9781  ,1.382e+02   ,-362.18  ,18  ,-185.06
9782  ,1.393e+02   ,-329.36  ,18  ,-177.49
9783  ,1.356e+02   ,-413.49  ,18  ,182.54
9784  ,1.434e+02   ,-69.332  ,18  ,178.95
9785  ,1.415e+02   ,-163.89  ,18  ,-176.89
9786  ,1.417e+02   ,-181.1  ,18  ,-183.15
9787  ,1.428e+02   ,-94.443  ,18  ,176.04
9788  ,1.412e+02   ,-252.68  ,18  ,182.22
9789  ,1.435e+02   ,60.416  ,18  ,181.97
9790  ,1.422e+02   ,127.63  ,18  ,180.39
9791  ,1.418e+02   ,143.32  ,18  ,173.04
9792  ,1.434e+02   ,33.626  ,18  ,-178.25
9793  ,1.436e+02   ,12.777  ,18  ,-180.78
9794  ,1.407e+02   ,278.19  ,18  ,177.32
9795  ,1.378e+02   ,371.06  ,18  ,180.16
9796  ,1.417e+02   ,-232.54  ,18  ,178.11
