Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11341  ,1.977e+02   ,19.233  ,18  ,-200.3
11342  ,1.979e+02   ,9.3007  ,18  ,-200.4
11343  ,1.979e+02   ,-0.30362  ,18  ,-200.46
11344  ,1.979e+02   ,-9.9366  ,18  ,-200.39
11345  ,1.977e+02   ,-19.881  ,18  ,-200.3
11346  ,1.977e+02   ,-29.924  ,18  ,-200.3
11347  ,1.977e+02   ,-39.961  ,18  ,-200.31
11348  ,1.978e+02   ,-49.888  ,18  ,-200.4
11349  ,1.978e+02   ,-59.506  ,18  ,-200.46
11350  ,1.976e+02   ,-69.107  ,18  ,-200.4
11351  ,1.974e+02   ,-79.04  ,18  ,-200.3
11352  ,1.973e+02   ,-89.083  ,18  ,-200.3
11353  ,1.973e+02   ,-99.112  ,18  ,-200.33
11354  ,1.973e+02   ,-109.03  ,18  ,-200.4
11355  ,1.973e+02   ,-118.66  ,18  ,-200.46
11356  ,1.971e+02   ,-128.2  ,18  ,-200.37
11357  ,1.968e+02   ,-138.15  ,18  ,-200.3
11358  ,1.966e+02   ,-148.19  ,18  ,-200.3
11359  ,1.966e+02   ,-158.24  ,18  ,-200.3
11360  ,1.967e+02   ,-168.21  ,18  ,-200.42
11361  ,1.968e+02   ,-178.01  ,18  ,-200.38
11362  ,1.968e+02   ,-187.54  ,18  ,-200.37
11363  ,1.967e+02   ,-197.35  ,18  ,-200.4
11364  ,1.965e+02   ,-246.65  ,18  ,-200.38
11365  ,1.966e+02   ,-237.17  ,18  ,-200.38
11366  ,1.963e+02   ,-256.46  ,18  ,-200.4
11367  ,1.961e+02   ,-266.45  ,18  ,-200.3
11368  ,1.960e+02   ,-296.32  ,18  ,-200.38
11369  ,1.960e+02   ,-286.49  ,18  ,-200.39
11370  ,1.958e+02   ,-305.76  ,18  ,-200.38
11371  ,1.956e+02   ,-315.57  ,18  ,-200.39
11372  ,1.951e+02   ,-335.61  ,18  ,-200.3
11373  ,1.953e+02   ,-325.57  ,18  ,-200.3
11374  ,1.950e+02   ,-345.62  ,18  ,-200.36
11375  ,1.949e+02   ,-355.48  ,18  ,-200.38
11376  ,1.947e+02   ,-364.89  ,18  ,-200.38
11377  ,1.943e+02   ,-374.73  ,18  ,-200.36
11378  ,1.940e+02   ,-384.73  ,18  ,-200.3
11379  ,1.937e+02   ,-394.78  ,18  ,-200.3
11380  ,1.936e+02   ,-404.8  ,18  ,-200.33
11381  ,1.934e+02   ,-414.69  ,18  ,-200.38
11382  ,1.931e+02   ,-424.43  ,18  ,-199.98
11383  ,1.926e+02   ,-433.87  ,18  ,-200.36
11384  ,1.925e+02   ,-440.44  ,18  ,-195.11
11385  ,1.926e+02   ,-435.16  ,18  ,200.47
11386  ,1.936e+02   ,-405.27  ,18  ,200.35
